City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,arkhangel'sk,64.5401,40.5433,-7.15,98,61,0.72,RU,1699739756
83,severo-yeniseyskiy,60.3725,93.0408,-6.9,95,100,0.89,RU,1699739756
84,harrisburg,40.2737,-76.8844,11.96,55,75,3.09,US,1699739628
85,chibougamau,49.9168,-74.3659,-4.21,80,100,2.57,CA,1699739757
86,buckeye,33.3703,-112.5838,27.45,20,0,2.57,US,1699739758
87,san patricio,28.017,-97.5169,15.97,88,100,3.03,US,1699739758
88,mzuzu,-11.4656,34.0207,17.58,90,41,0.9,MW,1699739758
89,diekirch,49.8678,6.1558,6.42,97,34,1.83,LU,1699739759
90,port saint john's,-31.6229,29.5448,19.75,82,96,6.39,ZA,1699739759
91,nicoresti,45.9322,27.3087,11.62,63,96,6.38,RO,1699739760
92,iskateley,67.6803,53.1512,-8.88,95,22,3.13,RU,1699739760
93,papatowai,-46.5619,169.4708,15.95,48,100,6.96,NZ,1699739761
94,sao vicente,-23.9631,-46.3919,37.1,54,0,1.54,BR,1699739761
95,ciudad del carmen,18.6333,-91.8333,28.02,83,40,2.06,MX,1699739645
96,tamanrasset,22.785,5.5228,20.95,11,0,3.6,DZ,1699739762
97,antonio enes,-16.2325,39.9086,24.14,77,1,2.76,MZ,1699739763
98,port alfred,-33.5906,26.891,17.88,85,33,2.24,ZA,1699739764
99,mana,5.6592,-53.7767,26.9,83,7,6.55,GF,1699739764
100,yamada,39.4667,141.95,4.15,77,34,1.37,JP,1699739765
101,thompson,55.7435,-97.8558,2.09,75,75,3.6,CA,1699739765
102,longyearbyen,78.2186,15.6401,-1.09,69,100,10.29,SJ,1699739767
103,yellowknife,62.456,-114.3525,0.79,99,100,3.09,CA,1699739522
104,medfield,42.1876,-71.3065,7.64,55,2,2.75,US,1699739760
105,namtsy,62.7161,129.6658,-20.72,100,100,1.3,RU,1699739769
106,adjumani,3.3779,31.7909,22.33,66,47,0.7,UG,1699739770
107,calvinia,-31.4707,19.776,10.16,78,0,1.8,ZA,1699739770
108,santarem,-2.4431,-54.7083,32.07,62,0,5.14,BR,1699739771
109,da nang,16.0678,108.2208,24.99,94,20,0.51,VN,1699739771
110,luanda,-8.8368,13.2343,26.0,83,20,3.6,AO,1699739478
111,roses,42.262,3.1769,15.06,85,100,3.58,ES,1699739773
112,lorengau,-2.0226,147.2712,28.17,75,100,3.79,PG,1699739773
113,agustin codazzi,10.0341,-73.2361,32.99,81,100,1.45,CO,1699739774
114,aur,8.1499,171.1687,28.18,82,93,5.94,MH,1699739774
115,ola,59.5833,151.2833,-18.21,82,9,4.71,RU,1699739775
116,susuman,62.7833,148.1667,-33.78,99,81,0.1,RU,1699739775
117,gadzhiyevo,69.2551,33.3362,-5.95,94,94,2.66,RU,1699739776
118,port elizabeth,-33.918,25.5701,17.95,72,3,4.02,ZA,1699739562
119,urengoy,65.9667,78.3667,-0.19,95,100,6.22,RU,1699739777
120,port mathurin,-19.6833,63.4167,24.92,79,9,1.74,MU,1699739777
121,nadi,-17.8,177.4167,29.0,58,75,4.63,FJ,1699739778
122,tura,25.5198,90.2201,17.81,88,0,1.74,IN,1699739779
123,moody,33.5909,-86.4908,12.86,97,100,0.89,US,1699739779
124,fort st. john,56.2499,-120.8529,4.94,60,75,5.66,CA,1699739780
125,west island,-12.1568,96.8225,25.99,83,40,4.12,CC,1699739781
126,chasong,41.4608,126.6414,-9.33,90,6,0.96,KP,1699739781
127,saint-pierre,-21.3393,55.4781,21.82,83,100,2.06,RE,1699739700
128,birjand,32.8663,59.2211,8.26,42,0,4.12,IR,1699739783
129,hawaiian paradise park,19.5933,-154.9731,26.73,82,100,2.06,US,1699739783
130,jever,53.5833,7.9,7.33,93,5,2.06,DE,1699739784
131,savanna-la-mar,18.219,-78.1332,29.97,82,36,0.93,JM,1699739784
132,huazhou,21.6333,110.5833,23.66,89,68,2.87,CN,1699739785
133,new norfolk,-42.7826,147.0587,13.29,58,96,2.81,AU,1699739785
134,pariaman,-0.619,100.12,23.03,88,22,1.52,ID,1699739786
135,igarka,67.4667,86.5833,-8.27,95,100,6.25,RU,1699739786
136,viana do castelo,41.6932,-8.8329,17.66,92,96,5.58,PT,1699739787
137,tannum sands,-23.9504,151.3693,23.94,60,48,4.63,AU,1699739788
138,wailua homesteads,22.0669,-159.378,27.44,77,100,5.14,US,1699739788
139,afaahiti,-17.75,-149.2833,29.93,81,80,6.05,PF,1699739789
140,katsuura,35.1333,140.3,14.17,87,100,5.46,JP,1699739790
141,zayed city,24.3768,54.589,28.89,68,0,1.54,AE,1699739791
142,codajas,-3.8367,-62.0569,32.31,43,46,0.36,BR,1699739791
143,udachny,66.4167,112.4,-9.75,85,84,5.65,RU,1699739792
144,kingston,17.997,-76.7936,31.53,70,40,7.2,JM,1699739677
145,tongchuanshi,35.0806,109.0897,0.24,42,24,2.28,CN,1699739793
146,betio village,1.358,172.9211,28.02,81,100,6.37,KI,1699739794
147,kembe,4.6228,21.8865,21.32,97,100,0.41,CF,1699739794
148,sao tome,0.3365,6.7273,26.42,83,100,2.49,ST,1699739795
149,valdivia,-39.8142,-73.2459,9.05,55,5,3.81,CL,1699739796
150,remire-montjoly,4.9167,-52.2667,27.36,81,6,6.28,GF,1699739796
151,ilulissat,69.2167,-51.1,-6.99,42,100,3.6,GL,1699739797
152,bathurst,-33.4166,149.5806,24.98,54,30,1.79,AU,1699739797
153,namsos,64.4662,11.4957,1.03,60,20,7.72,NO,1699739798
154,tobelo,1.7284,128.0095,26.72,80,100,1.26,ID,1699739799
155,mount isa,-20.7333,139.5,25.87,73,12,2.06,AU,1699739799
156,chita,52.0333,113.55,-14.06,84,50,2.0,RU,1699739799
157,qulsary,46.9531,54.0198,4.85,71,0,2.98,KZ,1699739800
158,constantia,44.1833,28.65,9.38,63,51,11.99,RO,1699739801
159,langepas,61.2544,75.2124,0.37,99,100,3.19,RU,1699739801
